business,4,meeting,1,fun,1,trip,3,presentation,1,plan,1,meetings,4,opinions,1,discussions,1,groups,1,presenter,1,speaks,1,others,1,turn,1,round,1,discussion,1,format,1,suggestion,1,golf,1,boat,1,jet,1,ski,1,time,1,"Fri, 4 May 2001 13:51:00 -0700 (PDT)"
test,1,way,1,"Wed, 18 Oct 2000 03:00:00 -0700 (PDT)"
schedule,1,level,1,everyone,1,scheduling,1,group,1,thoughts,1,changes,1,example,1,phillip,1,"Mon, 23 Oct 2000 06:13:00 -0700 (PDT)"
"Thu, 31 Aug 2000 05:07:00 -0700 (PDT)"
phillip,1,"Thu, 31 Aug 2000 04:17:00 -0700 (PDT)"
help,1,"Tue, 22 Aug 2000 07:44:00 -0700 (PDT)"
"Fri, 14 Jul 2000 06:59:00 -0700 (PDT)"
address,1,"Tue, 17 Oct 2000 02:26:00 -0700 (PDT)"
phone,1,conversation,1,microturbine,2,power,2,generation,2,deal,5,accounts,1,customer,5,proposal,1,price,5,term,1,gas,5,product,1,electricity,1,site,1,degen,1,years,1,supply,1,microturbines,3,kwh,2,opportunity,1,turbines,1,risk,1,work,1,energy,1,trading,1,units,1,number,2,stores,1,varies,1,installation,1,hurdles,1,percent,1,requirement,2,year,2,period,1,breakout,1,commodity,1,transport,1,cost,1,firm,1,questions,1,call,1,sales,1,"Mon, 16 Oct 2000 06:44:00 -0700 (PDT)"
gas,1,services,1,entity,1,request,1,phone,1,number,1,"Mon, 16 Oct 2000 06:42:00 -0700 (PDT)"
rentroll,1,folder,2,steps,1,files,1,"Fri, 13 Oct 2000 06:45:00 -0700 (PDT)"
issues,4,list,3,requirements,6,positions,6,transport,4,trade,2,capture,3,bullet,1,need,1,set,2,meeting,2,solution,2,position,20,screen,4,time,1,consuming,1,inability,1,consensus,2,traders,4,presentation,2,trader,2,liking,1,effort,1,layout,1,capability,1,future,1,order,1,plan,3,goals,1,project,8,projects,1,efforts,1,meetings,3,discussions,1,communication,1,teams,1,objectives,1,point,3,contact,2,trading,2,group,1,lot,1,requests,2,scope,5,consolidation,1,level,1,goal,1,fall,1,work,2,importance,1,priority,1,downs,1,inclusion,3,deals,5,manager,6,deal,6,ticker,3,rows,1,columns,1,ad,1,hoc,1,rowscolumns,2,swaps,1,options,6,curve,2,tab,1,values,1,curves,1,desk,1,ability,1,grid,5,column,2,show,1,shift,1,index,1,gas,4,market,1,valuation,2,results,1,flag,1,valuations,2,aggregation,1,desks,1,spread,1,systems,1,volatility,1,skew,1,correlations,1,day,1,delta,2,changes,1,gamma,1,months,1,strike,1,spreadsheets,1,change,3,terms,2,affect,1,impact,2,total,1,cell,1,volume,1,conversions,1,break,1,part,1,"Mon, 9 Oct 2000 07:16:00 -0700 (PDT)"
issues,4,list,3,requirements,6,positions,6,transport,4,trade,2,capture,3,bullet,1,need,1,set,2,meeting,2,solution,2,position,20,screen,4,time,1,consuming,1,inability,1,consensus,2,traders,4,presentation,2,trader,2,liking,1,effort,1,layout,1,capability,1,future,1,order,1,plan,3,goals,1,project,8,projects,1,efforts,1,meetings,3,discussions,1,communication,1,teams,1,objectives,1,point,3,contact,2,trading,2,group,1,lot,1,requests,2,scope,5,consolidation,1,level,1,goal,1,fall,1,work,2,importance,1,priority,1,downs,1,inclusion,3,deals,5,manager,6,deal,6,ticker,3,rows,1,columns,1,ad,1,hoc,1,rowscolumns,2,swaps,1,options,6,curve,2,tab,1,values,1,curves,1,desk,1,ability,1,grid,5,column,2,show,1,shift,1,index,1,gas,4,market,1,valuation,2,results,1,flag,1,valuations,2,aggregation,1,desks,1,spread,1,systems,1,volatility,1,skew,1,correlations,1,day,1,delta,2,changes,1,gamma,1,months,1,strike,1,spreadsheets,1,change,3,terms,2,affect,1,impact,2,total,1,cell,1,volume,1,conversions,1,break,1,part,1,"Mon, 9 Oct 2000 07:00:00 -0700 (PDT)"
names,1,desk,1,members,1,category,1,origination,1,side,1,phillip,1,"Thu, 5 Oct 2000 06:26:00 -0700 (PDT)"
"Thu, 5 Oct 2000 05:55:00 -0700 (PDT)"
questionsconflicts,1,thanks,1,x,1,"Wed, 4 Oct 2000 09:23:00 -0700 (PDT)"
mike,1,grigsby,1,problems,1,power,1,site,1,password,1,"Fri, 4 May 2001 11:26:00 -0700 (PDT)"
respond,1,cbpres,1,demographics,2,site,1,package,1,questions,1,information,1,requirements,1,interest,2,level,1,project,2,property,2,street,1,units,3,sale,1,land,2,foot,2,parcels,1,moratorium,1,development,1,studies,1,show,1,rents,1,duplexes,2,unit,1,lease,1,psf,1,term,1,room,1,location,1,student,1,housing,1,projects,1,window,1,opportunity,1,equity,1,requirement,1,question,1,today,1,winmaildat,1,"Tue, 3 Oct 2000 09:30:00 -0700 (PDT)"
strategies,1,calendars,1,regards,1,office,1,"Tue, 3 Oct 2000 09:15:00 -0700 (PDT)"
check,1,payment,1,phillip,1,"Tue, 3 Oct 2000 09:13:00 -0700 (PDT)"
"Tue, 3 Oct 2000 03:17:00 -0700 (PDT)"
check,1,payment,1,copy,1,deal,1,"Mon, 2 Oct 2000 02:19:00 -0700 (PDT)"
yesterday,1,attempt,1,index,4,buyer,2,marketplace,1,market,2,prices,4,gas,4,time,1,trades,11,offers,1,cents,1,order,1,calculation,2,line,1,swaps,1,list,3,phone,1,conversations,1,brokerage,1,firms,1,spreadsheet,1,trade,2,summary,1,value,1,spread,2,days,1,relationship,1,points,2,end,1,sense,1,indices,2,outliers,2,names,1,reference,1,aid,1,belief,1,desire,1,business,1,goal,1,"Thu, 28 Sep 2000 06:17:00 -0700 (PDT)"
yesterday,1,attempt,1,index,5,buyer,2,marketplace,1,market,2,prices,4,gas,4,intent,1,time,1,trades,11,offers,1,cents,1,order,1,calculation,2,line,1,swaps,1,list,3,phone,1,conversations,1,brokerage,1,firms,1,spreadsheet,1,trade,2,summary,1,value,1,spread,2,days,1,relationship,1,points,2,end,1,sense,1,indeces,2,outliers,2,names,1,reference,1,aid,1,belief,1,desire,1,business,1,goal,1,"Thu, 28 Sep 2000 05:56:00 -0700 (PDT)"
